	tconst	directors	producers	writers
3230	tt1262403	nm2280767,nm0716813,nm0918422		nm0367761,nm0004192,nm1108471
3231	tt1299365	nm0148116,nm0500444,nm0267497,nm1349522,nm0551358,nm0037708		nm2361811,nm0625158,nm0911505,nm0731146,nm0742568,nm0813561,nm0606313,nm2920012,nm0129325,nm1723110
3232	tt13529854	nm11523415,nm9454991		nm10555990,nm11856639,nm2257646,nm4488171
3233	tt1361839	nm0490792,nm0235852,nm0000625,nm0205542,nm0399737,nm0390844		nm1755909,nm1204858,nm1590309,nm0137978,nm1545970,nm0153676,nm0323068,nm1372047
3234	tt13925142	nm1175458		nm2036638,nm3908332,nm1591888,nm12489803
3235	tt14452776	nm3846239,nm3355108		nm7900149,nm6177111,nm13789461,nm3846239,nm3355108,nm4313823,nm7892014
3236	tt14473896	nm0011977,nm6806667,nm0438707		nm10003248,nm8189485,nm10302438,nm5458251,nm9647543
3237	tt14820482	nm8300759		nm5883328,nm11776059,nm7996207,nm11097816,nm11127768,nm5679353,nm1258512,nm12710112,nm8300759
3238	tt15157576	nm5092342		nm5092342
3239	tt1587694	nm0000655,nm0004610,nm0003150,nm0957198,nm0650304,nm0088121,nm0863990,nm0215123,nm0180085		nm1545960,nm3739963,nm0073766,nm3150062,nm0279292,nm0361912,nm0719823,nm0755161,nm0770699,nm2775540
3240	tt1641349	nm1879589,nm0004610,nm0336241,nm0143984,nm0818465		nm0545150,nm0799026,nm3029174,nm0558052,nm3011547,nm0103804,nm2963554,nm0299236,nm2201310,nm0248404,nm1332931,nm0596711
3241	tt1703874	nm0008971,nm0076708,nm0076997,nm0185734,nm0258066,nm0283816,nm0362734,nm0514546,nm0001513,nm0568192,nm0818237,nm0855613,nm0914368		nm0076708,nm0612768,nm1968372,nm1703666,nm0086652,nm0294352,nm1185659,nm0989941,nm1649645,nm0771814
3242	tt1780441	nm0051972,nm0035488,nm0000114,nm3189181,nm1247855,nm1730037,nm2777326,nm7063094,nm3634291,nm1635415		nm0035488,nm1247855,nm1730037,nm1058228,nm1635415,nm0643009,nm0453022,nm1474425,nm4662098,nm0798881,nm4863839
3243	tt1837576	nm0006476,nm0385151,nm0950506,nm1148550,nm0192030,nm1971220,nm0106230,nm1576181,nm0735276,nm0005093,nm0855613,nm0297489,nm0933156,nm1455688,nm0054077,nm0724757,nm0791381,nm2966154,nm0206259,nm0608012,nm0645401,nm1581670,nm0913488,nm0881038,nm1401177,nm0003150,nm0185734,nm0961594,nm0004930,nm0000739,nm0863990,nm0005204,nm0732233,nm0844358,nm0877617,nm0957198,nm0001282,nm0509183,nm0092575,nm0894225		nm0722274,nm0497556,nm3739963,nm3625282,nm6045762,nm4791766,nm0279292,nm2547449,nm1983565,nm3356959,nm0928696,nm1545960,nm3625201,nm8108153,nm0633425,nm1093233,nm2939882,nm8955368,nm5658986,nm1041459,nm4097439,nm0730446,nm3186529,nm0374302,nm1826634,nm6891522
3244	tt2114184	nm0804003,nm0791995,nm0593838,nm2088529		nm0791995,nm2088529,nm2564355,nm0128698,nm0573615,nm2005299,nm1730662,nm6040275,nm2418646,nm1910191,nm2294405,nm3162760,nm0957139,nm3417385,nm1827639
3245	tt2246569	nm0751577,nm0751648,nm0444709,nm0151540,nm0578162,nm1926903		nm4068332,nm2651299,nm5082181,nm0848966,nm4338665,nm2158545,nm2488633,nm1383735,nm1259707,nm0722582
3246	tt2535732	nm0919049,nm0006919,nm1241603,nm1659763,nm1339949,nm0496417,nm0431908,nm0183615		nm0668797,nm2164183,nm1715594,nm0572342,nm1424703,nm1507437,nm0931223,nm1153698,nm2621677,nm3199719,nm5225626,nm0769831
3247	tt2805574	nm0336241,nm0272704,nm0568224,nm0003802,nm0171315,nm0957197,nm0251848,nm0686184,nm0424800,nm0341372		nm1659841,nm2130654,nm1236670,nm2859316,nm2189280,nm2954122,nm0752841,nm3569984
3248	tt3187578	nm0791381,nm0003167,nm0592813,nm2425648,nm0198991,nm2371015,nm0276317,nm0514278,nm0629334,nm0957198,nm0400486,nm0118665,nm0776317,nm0637458,nm0921464,nm0004627,nm0110644,nm0385151,nm1226492,nm0066218		nm1661156,nm1656513,nm0707517,nm1654478,nm1499459,nm0247475,nm1011977,nm1286496,nm0149743,nm2045468,nm3186098,nm6276982,nm0519803,nm1345512,nm2539782,nm0801900,nm8870308,nm0239229,nm5476520,nm7309828,nm2185627
3249	tt3190448	nm1223381,nm0081593,nm0692595		nm0319213,nm6464310,nm0121437,nm0332467,nm0510937,nm2297407,nm3755126
3250	tt3340712	nm0343898,nm0348274,nm0687238,nm1068868,nm0134811		nm1064772,nm0098196,nm0200518,nm0436812,nm0499218,nm0561978,nm1386298,nm2387476,nm1008882,nm1123381,nm4467383,nm0897018
3251	tt3565486	nm3446789		nm1903445,nm1906100
3252	tt3638488	nm1802382,nm3613729,nm0469273,nm1462150,nm0283377,nm4888759,nm0423804,nm7546166,nm1390830,nm1490101		nm1389588,nm2105585,nm2488511,nm2145370,nm3625838,nm3146473,nm5900577,nm1342798
3253	tt3952746	nm0638271,nm0760131,nm1779916,nm1060984,nm0349980,nm1451137,nm0444709,nm0994553,nm0548159,nm0004597,nm2704557,nm2973514		nm1524395,nm4757461,nm1749211,nm7880323,nm3019150,nm2903805,nm0649699,nm0503899,nm3745774,nm4030854,nm4559928,nm0325850,nm0608946,nm3976409,nm2995437,nm4016866,nm1144729
3254	tt4288182	nm0055493,nm8802062,nm1891632,nm2033604,nm8015244,nm2255973,nm1541272		nm2255973,nm8440165,nm8420549,nm8802062,nm3971571,nm8440166,nm7256256,nm3958656,nm4300986,nm8281377
3255	tt4731072	nm10840346,nm10840528,nm5693606,nm8200395,nm1479549,nm4936255,nm9200987,nm4893486,nm2191341,nm11491535,nm8200583,nm4733902,nm8020016,nm1375928,nm8199417,nm3108055,nm5456409,nm8201359,nm8200452,nm1858526,nm4640238,nm3947461,nm1237740,nm1558766,nm1986105,nm1372499,nm6123400,nm11491534,nm1536019		nm0409353,nm8200719,nm8939135,nm3085191
3256	tt4859164	nm8753593,nm3336855,nm0569627,nm8103074,nm6679212,nm3717614,nm1361860,nm0500072,nm0767748,nm6084201,nm0243903,nm2092298,nm8039648,nm1476843,nm1285571,nm3586297		nm0767748,nm2314960,nm4190666,nm5697141,nm4642785,nm5335709,nm2882275,nm1013649,nm1394301,nm4609070,nm5766703,nm3191813,nm1061400,nm6599391,nm0594134,nm2056914,nm2663807,nm0569627,nm3671857,nm1534467,nm6215764,nm1856892,nm3866404,nm2346468,nm2092298,nm4002455,nm10456964,nm7623460,nm2994829,nm0333240,nm0470508,nm2268818,nm4686368,nm2636047,nm2122762,nm1476843,nm2873574,nm2762294,nm1255528,nm0163364,nm6679212,nm11679645,nm5437572,nm1361860,nm9687369,nm2593444,nm0270642,nm1473012,nm0538842
3257	tt5671700	nm3906558		nm6358299
3258	tt5768840	nm5507823		nm12382539
3259	tt6156584	nm0775358,nm0394012,nm0369949,nm0589284,nm0001726,nm0870295,nm0292468,nm0453270,nm0735484,nm5502262,nm0332740		nm0499429,nm2441468,nm0543919,nm1031176,nm2440893,nm0295264,nm0094435,nm8022359,nm3448383,nm1891864,nm2597661,nm7431560,nm0623738,nm1564800,nm3162291,nm1008361,nm2464402,nm0585319,nm13334727,nm1719286
3260	tt7151510	nm11523415,nm1264481,nm10021360,nm1873953		nm7477077,nm9284655,nm4449370
3261	tt7161862	nm5521959		nm3911553,nm0002041,nm2373272
3262	tt8210856	nm1113890,nm0626706,nm0297489,nm2564973		nm0588340,nm1117226,nm0923980,nm1771570,nm2109010,nm4611331,nm2611372
3263	tt8290362	nm1085270		nm0665041,nm1883612,nm1969284,nm1936498,nm2053975,nm0301788
3264	tt8991526	nm0611679,nm1167927,nm0703854,nm1931306		nm4530240
3265	tt9140554	nm3513341,nm1823264,nm1918140		nm5642271,nm3412073,nm9946590,nm6418980,nm0498278,nm3171597,nm0456158,nm1293367
3266	tt9310390	nm0531954		nm1789329
3267	tt9324742	nm10277031,nm10277032		nm10277031,nm10277032,nm10321124
3268	tt9454892	nm2366197,nm8464695		nm10696391,nm1934692
3269	tt9466596	nm1371075,nm1064646,nm0617023		nm1341986,nm0202379,nm3648214,nm0360694,nm10382078,nm10016336
3270	tt9584920	nm5321533,nm0476663,nm1805340,nm2170148,nm4241498,nm2167238,nm2524706,nm10571850,nm2164771,nm0945365,nm2218438,nm10271826		nm7336696,nm11670352,nm10607650,nm3843123,nm3622585
3271	tt9863788	nm0617318,nm2305561,nm1130190,nm0276469		nm3897224,nm1350548,nm1360267,nm10478427,nm1618282,nm1887172,nm3990359
3272	tt0386224	nm1502126,nm1410555,nm1348566,nm1712395,nm1330337,nm1931787,nm0156278,nm0428781,nm1927850,nm2111091,nm1497986,nm2222757		nm0420346,nm0878942,nm1934782,nm1649632,nm2080589,nm1279721,nm0701445,nm0810337,nm1622322,nm0860197
3273	tt0389701	nm0871860,nm1029269		nm1079524,nm1029269,nm0690686,nm0828177,nm0871860
3274	tt0405576	nm0168904,nm0994553,nm0385151,nm0431908,nm0826300,nm0447583,nm0276209,nm1335624,nm0388505,nm0906002,nm0004597,nm0934912,nm0000625,nm0390822		nm0271527,nm1335624,nm0342863,nm1591032,nm0266423,nm1219600,nm0349966,nm0342032,nm1219219,nm0156588,nm0598996,nm0066313,nm1439545
3275	tt0426371	nm0566841,nm0212027,nm0180902,nm1080142,nm0874716,nm0507629,nm0761349,nm0155117,nm0436039,nm0236930,nm0664829,nm1339949		nm0313286,nm0436039,nm0250518,nm0487512,nm1038093,nm0625943,nm0797505,nm0722730,nm2621227,nm2773767,nm0308745,nm0013928,nm0114600,nm0281069,nm0293749,nm0524716,nm0572295
